,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Area,Project Size,Launch Date,
45,Arinaa Country Farms,"Seegekota, Kanakapura, Kanakpura Road-Kanakpura, Bangalore",Residential Plots,Ready to Move,599/sq.ft,5659.00 sq.ft. - 16247.00 sq.ft.,15 Acres,50 units,,
46,Provident Tivoli Hills,"Devanahalli, Nandi Hill Road, Bangalore",Residential Plots,"Sep, 2023",5.58 K/sq.ft,1200.00 sq.ft. - 3200.00 sq.ft.,61 Acres (51% open),839 units,,
47,Real Southscapes Residential Layout,"Sy. No. 359/3, 360/2, 361/1, 362 And 363/2, Shivanahalli Village, Kasaba Hobli, Kanakapura, Bangalore",Residential Plots,"Aug, 2018",795/sq.ft,1200.00 sq.ft. - 2920.00 sq.ft.,13.79 Acres,214 units,"Jul, 2015",
48,Siddartha Solitaire Phase 2,"Beretena Agrahara Village, Begur Hobli, Hosa Road, South Bangalore, Bangalore","2, 3 BHK Apartments","Dec, 2023",5.13 K/sq.ft,1073.00 sq.ft. - 1400.00 sq.ft.,1.68 Acres,156 units,"Oct, 2021",
49,Provident Tivoli Hills,"Devanahalli, Nandi Hill Road, Bangalore",Residential Plots,"Sep, 2023",5.58 K/sq.ft,1200.00 sq.ft. - 3200.00 sq.ft.,61 Acres (51% open),839 units,,
50,Ramky One Karnival,"Margondanahallii, Electronic City Phase 1, South Bangalore, Bangalore","2, 3 BHK Apartments","Dec, 2023",4.90 K/sq.ft,755.00 sq.ft. - 1470.00 sq.ft.,7 Acres,502 units,"Mar, 2020",
51,SJR Parkway Homes,"Avalhalli Off Sarjapur Road, South Bangalore, Bangalore","1, 2, 3, 3.5 BHK Apartments",Ready to Move,Price on request,638.00 sq.ft. - 1801.00 sq.ft.,9.5 Acres,7 Buildings - 810 units,,
52,Smaya Jade Nester,"Sy No. 119 And 120, Rayasandra Village, Avalahalli Off Sarjapur Road, South Bangalore, Bangalore",Residential Plots,"Apr, 2021",4.80 K/sq.ft,585.00 sq.ft. - 3454.00 sq.ft.,6 Acres,,,
53,Bren Trillium,"Hosa Road, South Bangalore, Bangalore","2, 3 BHK Apartments",Ready to Move,4.39 K/sq.ft,1195.00 sq.ft. - 1672.00 sq.ft.,4 Acres,11 Buildings - 340 units,"Jan, 2013",
54,SJR Parkway Homes,"Avalhalli Off Sarjapur Road, South Bangalore, Bangalore","1, 2, 3, 3.5 BHK Apartments",Ready to Move,Price on request,638.00 sq.ft. - 1801.00 sq.ft.,9.5 Acres,7 Buildings - 810 units,,
55,SJR Fiesta Homes,"Electronic City Phase 2, South Bangalore, Bangalore","1, 2, 3 BHK Apartments",Ready to Move,5.65 K/sq.ft,738.00 sq.ft. - 1755.00 sq.ft.,4 Acres,8 Buildings - 356 units,"Mar, 2012",
56,63 DEGREE EAST,"Chikkanayakanahalli At Off Sarjapur, South Bangalore, Bangalore","Studio, 2, 3 BHK Studio Apartment, Apartments","Dec, 2022",5.25 K/sq.ft,441.00 sq.ft. - 1396.00 sq.ft.,26.38 Acres (68% open),5 Buildings - 710 units,"Dec, 2015",
57,Mahaveer Ranches Phase II,"Near Amrita Engineering College, Off Sarjapur Road, Hosa Road, South Bangalore, Bangalore",3 BHK Apartment,"Sep, 2021",5.10 K/sq.ft,1518.00 sq.ft. - 1726.00 sq.ft.,16 Acres (1% open),4 Buildings - 420 units,"Apr, 2016",
58,Ajmera Nucleus,"SY No. 13/2, Of Doddanagamangala Village, Begur Hobli, Electronic City Phase 2, South Bangalore, Bangalore","2, 3 BHK Apartments","Jun, 2023",7.36 K/sq.ft,773.00 sq.ft. - 967.00 sq.ft.,5.5 Acres (79% open),3 Buildings - 352 units,"Nov, 2018",
59,SB Templetree,"Sy No- 933/72, Bommnahalli, South Bangalore, Bangalore","2, 2.5, 3 BHK Apartments","Aug, 2022",6.00 K/sq.ft,1185.00 sq.ft. - 1770.00 sq.ft.,2.09 Acres,158 units,,
60,SNN Raj Greenbay,"Just Behind Tech Mahindra, Electronic City Phase II, South Bangalore, Bangalore","3, 4 BHK Apartment, Penthouses",Ready to Move in,5.80 K/sq.ft,1395.00 sq.ft. - 3245.00 sq.ft.,16 Acres,26 Buildings - 1030 units,"Sep, 2014",
61,Bren Woods,"Off Hosur Road, Near Electronic City Phase II, Avalahalli, Bangalore, South Bangalore, Bangalore",3 BHK Apartment,Ready to Move,Price on request,1252.00 sq.ft.,4 Acres,7 Buildings - 264 units,"Jan, 2014",
62,SSB Urban Lotus,"Gattahalli Main Road, Inside Reliable Gardenia, Near Rayasandra Lake, Avalahalli Off Sarjapur Road, South Bangalore, Bangalore","2, 3 BHK Apartments",Ready to Move,3.70 K/sq.ft,1079.00 sq.ft. - 1665.00 sq.ft.,,3 Buildings - 110 units,"Jan, 2015",
63,SJR Fiesta Homes,"Electronic City Phase 2, South Bangalore, Bangalore","1, 2, 3 BHK Apartments",Ready to Move,5.65 K/sq.ft,738.00 sq.ft. - 1755.00 sq.ft.,4 Acres,8 Buildings - 356 units,"Mar, 2012",
64,SJR Parkway Homes,"Avalhalli Off Sarjapur Road, South Bangalore, Bangalore","1, 2, 3, 3.5 BHK Apartments",Ready to Move,Price on request,638.00 sq.ft. - 1801.00 sq.ft.,9.5 Acres,7 Buildings - 810 units,,
65,Smaya Jade Nester,"Sy No. 119 And 120, Rayasandra Village, Avalahalli Off Sarjapur Road, South Bangalore, Bangalore",Residential Plots,"Apr, 2021",4.80 K/sq.ft,585.00 sq.ft. - 3454.00 sq.ft.,6 Acres,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
