,Flat Name,Flat address,Configurations,Possession_Starts,Avg. Price,Sizes,Project Area,Project Size,Launch Date,
67,Chordia Spring Flower ,"Off Panchawati Road, Near Knowledge Circle Law Classes, Panchawati, Pashan, Pune",2 BHK Apartment,Ready to Move,9.26 K/sq.ft,1080.00 sq.ft.,,,,
68,Amar Serenity,"Plot No. Survey No. 135/5, Plot No 2 At Pune (M Corp.), Baner-Pashan Link Road, Pune",3 BHK Apartment,"Dec, 2020",12.47 K/sq.ft,1003.00 sq.ft. - 1130.00 sq.ft.,2.92 Acres,4 Buildings - 246 units,"Jun, 2016",
69,Real Dream Homes,"Survey No 72, Ambi Road Near Talegaon Railway Station, talegaon Dabhade ,Varale, Pune",1 BHK Apartment,"Mar, 2022",Price on request,429.00 sq.ft. - 473.00 sq.ft.,4 Acres,2 Buildings - 238 units,"Feb, 2020",
70,Godrej Sky Greens Phase 1,"Sector R5, Manjari, Pune","2, 3 BHK Apartments","Mar, 2026",9.16 K/sq.ft,617.00 sq.ft. - 854.00 sq.ft.,4.15 Acres,4 Buildings - 1077 units,"Jan, 2022",
71,Vision Aristo,"S. No. 39, Near Mukai Chowk, Kiwale, Ravet, Pimpri Chinchwad, Pune","2, 3 BHK Apartments","Mar, 2026",6.23 K/sq.ft,734.00 sq.ft. - 972.00 sq.ft.,2.47 Acres,4 Buildings - 225 units,"Sep, 2021",
72,Naiknavare Neelaya,"Talegaon Dabhade, Pune","1, 2 BHK Apartments","Jun, 2020",5.46 K/sq.ft,385.00 sq.ft. - 529.00 sq.ft.,1 Acres,1 Building - 137 units,"Jun, 2017",
73,Setpal Palazzo,"S.No. 283/2, Vadgaon Maval, Next to Hotel Sheetal, Talegaon Dabhade, Pune","1, 2 BHK Apartments","Dec, 2019",Price on request,403.00 sq.ft. - 565.00 sq.ft.,,1 Building - 95 units,"Feb, 2015",
74,Puneville Phase II Cluster A,"Sr. No. 17/19, NH4, Pune Mumbai Highway, Near Lotus Business School, Punawale, Tathawade, Pimpri Chinchwad, Pune","2, 2.5, 3, 4.5 BHK Apartments","Dec, 2022",Price on request,66.15 sq.mt. - 182.00 sq.mt.,40 Acres (40% open),16 Buildings - 1500 units,"Dec, 2013",
75,Nanded City Pune Rhythm I II III,"Nanded City, Sinhagad Road, Pune",Residential Plots,"Sep, 2024",Price on request,2400.00 sq.ft. - 5234.00 sq.ft.,26 Acres,,,
76,Tulsi Shakuntla Kanade Nagar,"Near Undri, Pune, Pune","2, 3 BHK Apartments",Ready to Move,4.30 K/sq.ft,1077.00 sq.ft. - 1634.00 sq.ft.,2 Acres,3 Buildings - 126 units,"May, 2014",
77,Seven Hills Vaishnavi City Phase II,"Sr. No. 23/1/2/3, Behind JSPM Engineering College, Hadapsar, Handewadi Road, Near Cygnet School, Uruli Devachi, Pune","1 RK, 1, 2 BHK Apartments","May, 2022",Price on request,272.00 sq.ft. - 517.00 sq.ft.,5 Acres,7 Buildings - 619 units,"Jan, 2016",
78,The GEN Meraki,"Pashan, Pune","2, 3 BHK Apartments","Dec, 2024",10.90 K/sq.ft,915.00 sq.ft. - 1408.00 sq.ft.,0.95 Acres,1 Building - 94 units,,
79,Nanded City Pune Rhythm I II III,"Nanded City, Sinhagad Road, Pune",Residential Plots,"Sep, 2024",Price on request,2400.00 sq.ft. - 5234.00 sq.ft.,26 Acres,,,
80,Amar Landmark,"Survey No 19/A/2B, CTS No 578 Part At Pashan, Pashan Road, Pune",4 BHK Apartment,"Jun, 2023",Price on request,2861.00 sq.ft. - 2891.00 sq.ft.,2 Acres,2 Buildings - 64 units,"Jul, 2018",
81,KJ Tower,"Off Mumbai-Bangalore Highway Near Mai Mageshkar Hospital, Warje, Pune","2, 3 BHK Apartments","Sep, 2023",Price on request,779.00 sq.ft. - 1108.00 sq.ft.,1 Acres,4 Buildings - 160 units,,
82,Kumar Privie Sanctum A1 And B1,"Ivory Estate, Ward No. 8, Baner, Pashan Road, Pune","3.5, 4.5 BHK Apartments","May, 2021",Price on request,1611.00 sq.ft. - 2263.00 sq.ft.,1 Acres,2 Buildings - 60 units,"Oct, 2013",
83,Chordia Solitaire Homes Pashan,"Cts. No. 672 To 681 And 708, S. No. 146/3A/3B/1, Plot No. 2, Pashan, Pashan Road, Pune","2 BHK Apartment, Studio Apartment","Jun, 2023",10.99 K/sq.ft,635.00 sq.ft. - 644.00 sq.ft.,1 Acres,3 Buildings - 120 units,"Apr, 2019",
84,Chordia Solitaire Homes Pashan,"Cts. No. 672 To 681 And 708, S. No. 146/3A/3B/1, Plot No. 2, Pashan, Pashan Road, Pune","2 BHK Apartment, Studio Apartment","Jun, 2023",10.99 K/sq.ft,635.00 sq.ft. - 644.00 sq.ft.,1 Acres,3 Buildings - 120 units,"Apr, 2019",
85,KJ Tower,"Off Mumbai-Bangalore Highway Near Mai Mageshkar Hospital, Warje, Pune","2, 3 BHK Apartments","Sep, 2023",Price on request,779.00 sq.ft. - 1108.00 sq.ft.,1 Acres,4 Buildings - 160 units,,
86,Puravankara Aspire,"Near Ambrosia Resort and Spa, Bavdhan, Paud Road, Pune","2, 3 BHK Apartments","Dec, 2022",Price on request,1180.00 sq.ft. - 1805.00 sq.ft.,2.64 Acres,2 Buildings - 236 units,"Jun, 2019",
87,Goel Ganga Legend A2 And B4,"Sr No. 305P, 306P And 339P, Bavdhan, Pashan Road, Pune","2, 3 BHK Apartments","Jun, 2027",13.36 K/sq.ft,573.00 sq.ft. - 955.00 sq.ft.,2 Acres,4 Buildings - 356 units,"May, 2019",
88,Shapoorji Vanaha,"Bavdhan, Pashan Road, Pune","2, 2.5, 4 BHK Apartments","Mar, 2025",7.14 K/sq.ft,774.00 sq.ft. - 2100.00 sq.ft.,,,,
89,Tejraaj Elevia,"Baner, Pune, Pune","1, 2, 3 BHK Apartments",Under Construction,8.82 K/sq.ft,578.00 sq.ft. - 991.00 sq.ft.,,2 Buildings - 232 units,,
