,Flat Name,Flat address,Possession_Starts,Avg. Price,Sizes,Project Size,Launch Date,Configurations,Project Area
11,EK Avenues,"Erumaiyur, Tambaram West, Chennai south, Chennai","Dec, 2025",2.40 K/sq.ft,678.00 sq.ft. - 2336.00 sq.ft.,74 units,"Feb, 2021",Residential Plots,
12,Pillars Archana Nagar,"Archana Nagar Extension, Perungalathur, Chennai south, Chennai",Ready to Move,5.30 K/sq.ft,794.00 sq.ft. - 1412.00 sq.ft.,,,Residential Plots,
13,VGK Samyuktha,"Plot No.14, Judge Colony Second Main Road, East Tambaram Sanatorium, Chennai south, Chennai","May, 2020",6.50 K/sq.ft,906.00 sq.ft. - 1197.00 sq.ft.,1 Building - 8 units,"Mar, 2019","2, 3 BHK Apartments",0.08 Acres
14,TVS Green Hills Villas,"345, 2B, NGO Nagar Extn, Nedungundram, New Perungalathur, Chennai, Chennai south, Chennai",Ready to Move,6.62 K/sq.ft,2047.00 sq.ft.,182 units,"Nov, 2014",3 BHK Villa,
15,The Nest Epic,"Vedakkupattu Road, Thiruvalluvar Street, Medavakaam, Chennai south, Chennai","Nov, 2022",5.80 K/sq.ft,650.00 sq.ft. - 1280.00 sq.ft.,1 Building,,"1, 2, 3 BHK Apartments",
16,Casagrand First City,"Sholinganallur, Perumbakkam, Chennai south, Chennai","May, 2023",4.40 K/sq.ft,1004.00 sq.ft. - 2325.00 sq.ft.,1693 units,"Oct, 2020","2, 3, 4 BHK Apartments",15 Acres (75% open)
17,Navins Starwood Towers 2,"Mambakkam, Vengaivasal, Chennai south, Chennai",Ready to Move,5.95 K/sq.ft,591.00 sq.ft. - 1484.00 sq.ft.,3 Buildings - 410 units,"May, 2018","2, 3 BHK Apartments",9.85 Acres (79% open)
18,Casagrand Zenith,"Medavakkam, Chennai south, Chennai","Apr, 2022",4.65 K/sq.ft,1360.00 sq.ft. - 1799.00 sq.ft.,4 Buildings - 949 units,,3 BHK Apartment,7.46 Acres
19,Casagrand Zenith,"Medavakkam, Chennai south, Chennai","Apr, 2022",4.65 K/sq.ft,1360.00 sq.ft. - 1799.00 sq.ft.,4 Buildings - 949 units,,3 BHK Apartment,7.46 Acres
20,Celesta,"Jayachandran Nagar, Pallikaranai, Medavakkam, Chennai south, Chennai","Dec, 2022",6.35 K/sq.ft,1153.00 sq.ft. - 1560.00 sq.ft.,5 Buildings,,"2, 2.5, 3 BHK Apartments",
21,M C Chenthur Flats,"Kulakarai Street, Santhosapuram, Medavakkam, Chennai south, Chennai","Jul, 2021",5.50 K/sq.ft,787.00 sq.ft. - 1163.00 sq.ft.,1 Building - 6 units,"Dec, 2020","2, 3 BHK Apartments",
22,Anu Sri Ishwarya Garden,"Medavakkam, Chennai south, Chennai","Apr, 2022",5.90 K/sq.ft,867.00 sq.ft. - 1327.00 sq.ft.,2 Buildings - 8 units,,"2, 3 BHK Apartments",
23,Celesta,"Jayachandran Nagar, Pallikaranai, Medavakkam, Chennai south, Chennai","Dec, 2022",6.35 K/sq.ft,1153.00 sq.ft. - 1560.00 sq.ft.,5 Buildings,,"2, 2.5, 3 BHK Apartments",
24,BSCPL Bollineni Zion,"OMR, Perumbakkam, Chennai south, Chennai","Jun, 2024",3.70 K/sq.ft,885.00 sq.ft. - 1570.00 sq.ft.,581 units,"Jan, 2021","2, 2.5, 3 BHK Apartments",23.5 Acres (60% open)
25,Pearl Petunia,"Sowmya Nagar, 1st Street And Rajiv Gandhi Street, Perumbakkam, Chennai south, Chennai","Dec, 2022",5.60 K/sq.ft,914.00 sq.ft. - 1033.00 sq.ft.,1 Building - 15 units,"Oct, 2021",2 BHK Apartment,
26,Vishnu MC Joel Flats,"Ganesh Nagar, Chitlapakkam, Chennai south, Chennai",Under Construction,6.50 K/sq.ft,1362.00 sq.ft. - 1404.00 sq.ft.,1 Building - 6 units,"Dec, 2021",3 BHK Apartment,
27,Arun Excello Sharada,"Survey No.311/1a Part, 311/1b Part Of Sholinganallur, Chennai south, Chennai","Sep, 2022",6.50 K/sq.ft,495.00 sq.ft. - 1381.00 sq.ft.,,,"1, 2, 3 BHK Apartments",
28,Pearl Petunia,"Sowmya Nagar, 1st Street And Rajiv Gandhi Street, Perumbakkam, Chennai south, Chennai","Dec, 2022",5.60 K/sq.ft,914.00 sq.ft. - 1033.00 sq.ft.,1 Building - 15 units,"Oct, 2021",2 BHK Apartment,
29,Pearl Queens Park,"Medavakkam, Chennai south, Chennai","Apr, 2024",5.00 K/sq.ft,823.00 sq.ft. - 1340.00 sq.ft.,,,"2, 2.5, 3 BHK Apartments",
30,Sai Dhanalakshmi Flats,"Medavakkam, Chennai south, Chennai",Ready to Move,5.30 K/sq.ft,813.00 sq.ft. - 1410.00 sq.ft.,1 Building - 12 units,"Jun, 2020","2, 3 BHK Apartments",
31,The Nest Passion,"12 th Street,Gajendra Nagar, Soumya Nagar, Medavakkam, Chennai south, Chennai",Ready to Move,5.00 K/sq.ft,1010.00 sq.ft.,1 Building - 8 units,"Oct, 2019",2 BHK Apartment,0.12 Acres
32,The Nest Glory,"Sholinganallur, Chennai south, Chennai",Ready to Move,Price on request,550.00 sq.ft. - 1290.00 sq.ft.,,,"1, 2, 3 BHK Apartments",
33,Navins Starwood Towers 2,"Mambakkam, Vengaivasal, Chennai south, Chennai",Ready to Move,5.95 K/sq.ft,591.00 sq.ft. - 1484.00 sq.ft.,3 Buildings - 410 units,"May, 2018","2, 3 BHK Apartments",9.85 Acres (79% open)
34,The Nest Nest Charm,"Soumya Nagar, Medavakkam, Chennai south, Chennai","May, 2020",5.60 K/sq.ft,815.00 sq.ft. - 1330.00 sq.ft.,1 Building - 12 units,"May, 2019","2, 3 BHK Apartments",
35,Ozone Greens,"68/1A, Jalladianpet Joint, Perumbakkam Main Road, VGP Prabhu Nagar, Medavakkam, Chennai south, Chennai","Dec, 2020",4.50 K/sq.ft,651.00 sq.ft. - 2575.00 sq.ft.,23 Buildings - 1611 units,"Jul, 2008","1, 2, 2.5, 3, 4 BHK Apartments",15 Acres
36,The Nest Nest Heritage,"5th Main Road, BHEL Nagar, Near Medavakkam Koot Road Junction, Medavakkam, Chennai south, Chennai","May, 2020",5.75 K/sq.ft,750.00 sq.ft. - 1355.00 sq.ft.,1 Building - 14 units,"May, 2019","2, 3 BHK Apartments",
37,Casa Grand Zenith Phase II,"Mambakkam Main Road, Sithalapakkam, Krishnaveni Nagar, Medavakkam, Chennai south, Chennai","Mar, 2022",Price on request,1360.00 sq.ft. - 1799.00 sq.ft.,1 Building - 417 units,"Jun, 2020",3 BHK Apartment,
38,Navins Starwood Towers,"Mambakkam Main Road, Sithalapakkam Post, Vengaivasal, Chennai south, Chennai",Ready to Move,5.75 K/sq.ft,1469.00 sq.ft. - 1484.00 sq.ft.,5 Buildings - 216 units,"Nov, 2012",3 BHK Apartment,9.85 Acres
39,The Nest Fame,"Soumya Nagar, Near Sai Baba Temple, Medavakkam, Chennai south, Chennai","May, 2020",5.60 K/sq.ft,840.00 sq.ft. - 980.00 sq.ft.,1 Building - 10 units,"May, 2019",2 BHK Apartment,
40,G Square Prestige,"Thiruvidandhai, Chennai south, Chennai",Ready to Move,3.50 K/sq.ft,1000.00 sq.ft. - 2400.00 sq.ft.,250 units,,Residential Plots,12.5 Acres
41,Casagrand Zenith,"Medavakkam, Chennai south, Chennai","Apr, 2022",4.65 K/sq.ft,1360.00 sq.ft. - 1799.00 sq.ft.,4 Buildings - 949 units,,3 BHK Apartment,7.46 Acres
